sum,query,4,2,5.342,1.696,5.889
sum,query,4,4,5.342,1.696,5.384
sum,query,4,8,5.342,1.696,5.569
sum,query,4,16,5.342,1.696,5.972
sum,query,4,32,5.342,1.696,5.884
sum,query,4,64,5.342,1.696,5.677
sum,query,4,128,5.342,1.696,5.732
sum,query,4,256,5.342,1.696,5.598
sum,query,4,512,5.342,1.696,6.331
sum,query,8,2,9.210,4.291,7.633
sum,query,8,4,9.210,4.291,8.774
sum,query,8,8,9.210,4.291,8.667
sum,query,8,16,9.210,4.291,8.675
sum,query,8,32,9.210,4.291,8.450
sum,query,8,64,9.210,4.291,8.979
sum,query,8,128,9.210,4.291,9.306
sum,query,8,256,9.210,4.291,9.013
sum,query,8,512,9.210,4.291,8.896
sum,query,12,2,10.570,4.031,7.812
sum,query,12,4,10.570,4.031,8.599
sum,query,12,8,10.570,4.031,10.163
sum,query,12,16,10.570,4.031,10.283
sum,query,12,32,10.570,4.031,9.922
sum,query,12,64,10.570,4.031,9.104
sum,query,12,128,10.570,4.031,9.239
sum,query,12,256,10.570,4.031,9.058
sum,query,12,512,10.570,4.031,9.763
sum,query,16,2,9.332,4.347,7.010
sum,query,16,4,9.332,4.347,8.335
sum,query,16,8,9.332,4.347,10.446
sum,query,16,16,9.332,4.347,9.537
sum,query,16,32,9.332,4.347,9.860
sum,query,16,64,9.332,4.347,9.733
sum,query,16,128,9.332,4.347,10.132
sum,query,16,256,9.332,4.347,9.762
sum,query,16,512,9.332,4.347,9.525
sum,query,20,2,10.177,4.032,7.503
sum,query,20,4,10.177,4.032,7.783
sum,query,20,8,10.177,4.032,10.128
sum,query,20,16,10.177,4.032,10.035
sum,query,20,32,10.177,4.032,10.580
sum,query,20,64,10.177,4.032,10.261
sum,query,20,128,10.177,4.032,10.696
sum,query,20,256,10.177,4.032,10.044
sum,query,20,512,10.177,4.032,10.235
sum,query,24,2,11.292,4.352,7.729
sum,query,24,4,11.292,4.352,8.367
sum,query,24,8,11.292,4.352,9.441
sum,query,24,16,11.292,4.352,10.957
sum,query,24,32,11.292,4.352,10.252
sum,query,24,64,11.292,4.352,10.413
sum,query,24,128,11.292,4.352,10.417
sum,query,24,256,11.292,4.352,10.435
sum,query,24,512,11.292,4.352,10.455
sum,query,28,2,11.086,4.037,6.867
sum,query,28,4,11.086,4.037,8.108
sum,query,28,8,11.086,4.037,9.007
sum,query,28,16,11.086,4.037,10.465
sum,query,28,32,11.086,4.037,11.017
sum,query,28,64,11.086,4.037,11.100
sum,query,28,128,11.086,4.037,11.036
sum,query,28,256,11.086,4.037,11.058
sum,query,28,512,11.086,4.037,11.073
sum,query,32,2,11.097,4.375,7.424
sum,query,32,4,11.097,4.375,8.431
sum,query,32,8,11.097,4.375,9.897
sum,query,32,16,11.097,4.375,11.015
sum,query,32,32,11.097,4.375,11.029
sum,query,32,64,11.097,4.375,11.934
sum,query,32,128,11.097,4.375,12.962
sum,query,32,256,11.097,4.375,11.111
sum,query,32,512,11.097,4.375,11.300
sum,query,36,2,11.229,4.482,7.329
sum,query,36,4,11.229,4.482,8.460
sum,query,36,8,11.229,4.482,9.860
sum,query,36,16,11.229,4.482,11.300
sum,query,36,32,11.229,4.482,11.130
sum,query,36,64,11.229,4.482,11.486
sum,query,36,128,11.229,4.482,11.546
sum,query,36,256,11.229,4.482,11.370
sum,query,36,512,11.229,4.482,11.456
sum,query,40,2,11.676,4.395,7.189
sum,query,40,4,11.676,4.395,8.291
sum,query,40,8,11.676,4.395,9.437
sum,query,40,16,11.676,4.395,10.982
sum,query,40,32,11.676,4.395,12.407
