mixed,4,2.921,3.083
mixed,8,4.083,4.387
mixed,12,4.566,4.203
mixed,16,4.842,4.937
mixed,20,5.151,4.755
mixed,24,5.684,4.856
mixed,28,5.930,4.874
mixed,32,6.014,5.360
mixed,36,6.007,5.342
mixed,40,6.118,5.228
mixed,44,6.342,5.163
mixed,48,6.429,5.289
mixed,52,6.514,5.239
mixed,56,6.524,5.253
mixed,60,6.640,5.299
mixed,64,6.770,5.746
mixed,80,6.953,5.684
mixed,96,7.095,5.691
mixed,128,7.360,6.120
mixed,192,7.881,6.149
mixed,256,8.128,6.424
mixed,384,9.131,6.436
mixed,512,9.878,6.905
mixed,768,11.513,6.756
mixed,1024,13.261,7.179
mixed,1536,16.829,7.111
mixed,2048,20.191,7.481
mixed,3072,27.160,7.468
mixed,4096,34.327,7.795
mixed,6144,49.412,7.932
mixed,8192,73.249,8.037
mixed,12288,120.975,7.982
mixed,16384,165.166,8.363
mixed,24576,251.402,8.375
mixed,32768,335.934,8.774
mixed,49152,500.221,8.676
mixed,65536,1089.183,8.999
mixed,98304,1684.405,9.129
mixed,131072,2241.133,9.376
mixed,196608,2218.702,9.488
mixed,262144,3438.935,9.756
mixed,393216,6935.064,12.104
mixed,524288,13879.165,16.606
mixed,786432,22167.293,20.003
mixed,1048576,33170.738,20.856
query,4,4.651,1.892
query,8,6.615,3.599
query,12,7.501,3.384
query,16,8.010,4.161
query,20,8.426,3.859
query,24,9.522,4.042
query,28,10.066,4.120
query,32,10.172,4.531
query,36,10.272,4.491
query,40,10.394,4.441
query,44,10.774,4.331
query,48,10.975,4.579
query,52,11.095,4.446
query,56,11.276,4.544
query,60,11.401,4.637
query,64,11.611,4.980
query,80,11.968,4.856
query,96,12.276,4.974
query,128,12.752,5.270
query,192,13.991,5.299
query,256,15.372,5.616
query,384,16.966,5.744
query,512,18.552,6.021
query,768,22.873,6.120
query,1024,24.707,6.445
query,1536,31.175,6.495
query,2048,38.360,6.817
query,3072,51.930,6.896
query,4096,65.823,7.186
query,6144,94.251,7.293
query,8192,141.459,7.459
query,12288,231.189,7.479
query,16384,326.000,7.878
query,24576,492.181,7.930
query,32768,648.781,8.172
query,49152,985.709,8.359
query,65536,2180.353,8.533
query,98304,3259.638,8.655
query,131072,4394.863,8.882
query,196608,4352.795,9.049
query,262144,6340.103,9.173
query,393216,13071.707,9.709
query,524288,21832.234,10.855
query,786432,39557.191,16.394
query,1048576,58168.223,20.740
range,2,2.352,19.784
range,4,2.467,22.073
range,6,3.404,21.104
range,8,3.123,20.213
range,10,4.127,20.253
range,12,4.193,19.696
range,14,4.938,20.083
range,16,4.512,20.408
range,20,5.609,20.478
range,24,6.203,20.297
range,28,6.946,20.437
range,32,7.502,26.116
range,36,7.923,20.814
range,40,8.604,25.753
range,44,9.168,24.239
range,48,9.368,26.782
range,52,10.428,25.752
range,56,10.566,28.810
range,60,11.204,26.611
range,64,11.221,27.619
range,80,13.151,29.269
range,96,15.722,30.615
range,128,18.920,33.252
range,192,26.944,29.171
range,256,33.798,31.909
range,384,47.909,31.013
range,512,60.571,35.353
range,768,88.108,35.511
range,1024,114.021,37.272
range,2048,235.944,39.853
range,4096,469.229,41.991
range,8192,914.973,43.792
