mixed,4,2.474,2.953
mixed,8,3.651,4.159
mixed,12,4.170,3.948
mixed,16,4.616,4.650
mixed,20,4.749,4.426
mixed,24,4.944,4.486
mixed,28,5.028,4.463
mixed,32,5.208,4.972
mixed,36,5.291,5.026
mixed,40,5.464,5.045
mixed,44,5.470,4.864
mixed,48,5.687,4.966
mixed,52,5.800,5.020
mixed,56,5.865,4.932
mixed,60,5.873,5.049
mixed,64,5.961,5.303
mixed,80,6.349,5.373
mixed,96,6.595,5.319
mixed,128,6.927,5.782
mixed,192,7.676,5.612
mixed,256,8.270,5.939
mixed,384,9.529,5.863
mixed,512,10.525,6.160
mixed,768,13.633,6.177
mixed,1024,16.615,6.409
mixed,1536,22.922,6.426
mixed,2048,29.043,6.634
mixed,3072,41.228,6.712
mixed,4096,53.834,6.972
mixed,6144,78.779,6.894
mixed,8192,116.645,7.159
mixed,12288,192.799,7.102
mixed,16384,202.222,7.426
mixed,24576,305.568,7.388
mixed,32768,404.365,7.821
mixed,49152,838.515,7.766
mixed,65536,1109.614,8.065
mixed,98304,1671.291,8.215
mixed,131072,2190.063,8.431
mixed,196608,3321.454,8.293
mixed,262144,4794.646,8.729
mixed,393216,8780.122,11.496
mixed,524288,13257.703,15.519
mixed,786432,17959.930,19.496
mixed,1048576,36636.285,20.931
query,4,4.276,1.819
query,8,6.348,3.564
query,12,7.555,3.426
query,16,8.169,4.135
query,20,8.669,3.781
query,24,8.986,4.028
query,28,9.284,4.022
query,32,9.501,4.452
query,36,9.702,4.382
query,40,9.996,4.269
query,44,10.258,4.080
query,48,10.571,4.402
query,52,10.810,4.234
query,56,11.125,4.333
query,60,11.226,4.448
query,64,11.374,4.675
query,80,11.874,4.662
query,96,12.552,4.667
query,128,13.499,4.879
query,192,14.882,4.883
query,256,16.033,5.076
query,384,18.613,5.084
query,512,20.769,5.316
query,768,25.988,5.359
query,1024,31.449,5.671
query,1536,42.576,5.796
query,2048,54.357,5.869
query,3072,81.894,5.960
query,4096,106.053,6.259
query,6144,155.757,6.227
query,8192,233.460,6.413
query,12288,387.413,6.491
query,16384,407.118,6.641
query,24576,616.225,6.964
query,32768,819.023,6.978
query,49152,1645.903,7.229
query,65536,2238.566,7.472
query,98304,3420.432,7.451
query,131072,4439.369,7.605
query,196608,6803.540,7.581
query,262144,9289.132,8.137
query,393216,17885.684,9.234
query,524288,27830.641,11.708
query,786432,45765.922,19.230
query,1048576,59715.191,18.107
range,2,2.142,16.300
range,4,2.183,16.101
range,6,3.123,20.607
range,8,2.841,16.115
range,10,3.587,18.739
range,12,3.736,18.242
range,14,4.475,17.202
range,16,4.666,20.338
range,20,5.476,24.128
range,24,5.653,18.786
range,28,6.470,20.462
range,32,7.590,26.088
range,36,7.807,23.674
range,40,8.426,24.633
range,44,8.423,25.615
range,48,9.126,26.130
range,52,10.554,27.110
range,56,10.537,25.250
range,60,11.163,25.181
range,64,11.760,27.071
range,80,13.477,28.394
range,96,15.723,27.390
range,128,20.432,28.086
range,192,30.864,27.052
range,256,37.505,27.810
range,384,51.009,31.415
range,512,63.568,29.040
range,768,91.303,34.591
range,1024,122.298,30.972
range,2048,226.331,33.740
range,4096,451.486,36.791
range,8192,870.854,30.362
